Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency,Constituency number
JIYALAL DHURIYA,Bhartiya Shakti Chetna Party,803,1,804,0.39,Baberu,233
RAJBAHADUR KUSHWAHA,RASHTRIYA VIKLANG PARTY,748,1,749,0.36,Baberu,233
SAMTA DEVI,Bahujan Mukti Party,817,0,817,0.4,Baberu,233
SIMMI BURMAN,Aazad Samaj Party (Kanshi Ram),1942,2,1944,0.95,Baberu,233
NOTA,None of the Above,3044,3,3047,1.48,Baberu,233
Chandra Shekher Tiwari,Indian National Congress,2313,19,2332,0.99,Babina,222
Dasharath Singh Rajpoot,Bahujan Samaj Party,30424,116,30540,13.02,Babina,222
Yashpal Singh Yadav,Samajwadi Party,73484,330,73814,31.46,Babina,222
Rajeev Singh ''Parichha'',Bharatiya Janata Party,117938,405,118343,50.44,Babina,222
Keshav Singh,Aazad Samaj Party (Kanshi Ram),1813,0,1813,0.77,Babina,222
Rani Devi,Jan Adhikar Party,2647,8,2655,1.13,Babina,222
Ramsingh Pal,Rashtriya Samaj Paksha,538,0,538,0.23,Babina,222
Shiroman Singh Rajpoot,Shiv Sena,508,0,508,0.22,Babina,222
Jayram Pal,Independent,921,0,921,0.39,Babina,222
Rajkumar,Independent,688,1,689,0.29,Babina,222
Hareeom,Independent,642,1,643,0.27,Babina,222
NOTA,None of the Above,1828,7,1835,0.78,Babina,222
LAJWANTI KURIL,Bahujan Samaj Party,13686,44,13730,6.55,Bachhrawan,177
SHYAM SUNDER,Samajwadi Party,65381,366,65747,31.38,Bachhrawan,177
SUSHIL KUMAR PASI,Indian National Congress,56754,81,56835,27.13,Bachhrawan,177
CHANDRASHEKHAR,Moulik Adhikar Party,2416,0,2416,1.15,Bachhrawan,177
DEEPANKER,Aam Aadmi Party,1017,3,1020,0.49,Bachhrawan,177
BABULAL,Sabka Dal United,2215,0,2215,1.06,Bachhrawan,177
LAXMIKANT,Apna Dal (Soneylal),62816,119,62935,30.04,Bachhrawan,177
OM PRAKASH,Independent,1316,1,1317,0.63,Bachhrawan,177
POOJA JAISAWAR,Independent,1095,2,1097,0.52,Bachhrawan,177
NOTA,None of the Above,2198,2,2200,1.05,Bachhrawan,177
Mahesh Chandra Gupta,Bharatiya Janata Party,100717,379,101096,46.12,Badaun,115
Rais Ahmad,Samajwadi Party,89280,637,89917,41.02,Badaun,115
Rajni Singh,Indian National Congress,2225,10,2235,1.02,Badaun,115
Rajesh Kumar Singh,Bahujan Samaj Party,23002,133,23135,10.56,Badaun,115
Usaman Gaddi,VANCHITSAMAJ INSAAF PARTY,706,0,706,0.32,Badaun,115
Nandram,Bharatiya Subhash Sena,333,0,333,0.15,Badaun,115
Hem Singh,Independent,368,1,369,0.17,Badaun,115
NOTA,None of the Above,1383,9,1392,0.64,Badaun,115
ARTI SINGH,Indian National Congress,1641,10,1651,0.8,Badlapur,364
OMPRAKASH BABA  DUBEY,Samajwadi Party,79943,1122,81065,39.08,Badlapur,364
MANOJ,Bahujan Samaj Party,34657,135,34792,16.77,Badlapur,364
RAMESH CHANDRA MISHRA,Bharatiya Janata Party,81957,434,82391,39.72,Badlapur,364
ANIL KUMAR SINGH,Hum Sabki Party,1087,0,1087,0.52,Badlapur,364
RAJESH VISHWAKARMA,Jan Adhikar Party,717,2,719,0.35,Badlapur,364
RAM GOVIND SINGH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),526,0,526,0.25,Badlapur,364
RAHUL SHARMA,Aam Aadmi Party,504,2,506,0.24,Badlapur,364
SEEMA JAISWAL,Rashtriya Samaj Paksha,383,2,385,0.19,Badlapur,364
SUMIT SINGH,Vikassheel Insaan Party,560,0,560,0.27,Badlapur,364
SUSHMA MISHRA,Bhartiya Dharmanirpeksha Party,492,0,492,0.24,Badlapur,364
SUBEDAR GAUTAM,Bharatrashtra Democratic Party,688,0,688,0.33,Badlapur,364
SABHAJEET,Independent,904,1,905,0.44,Badlapur,364
HARI PRASAD SHUKLA,Independent,760,0,760,0.37,Badlapur,364
NOTA,None of the Above,889,3,892,0.43,Badlapur,364
Anil,Indian National Congress,1214,15,1229,0.57,Baghpat,52
Arun Kasana,Bahujan Samaj Party,12804,59,12863,6.01,Baghpat,52
Mohd Ahmed Hameed,Rashtriya Lok Dal,94224,463,94687,44.22,Baghpat,52
Yogesh Dhama,Bharatiya Janata Party,100639,781,101420,47.37,Baghpat,52
Naveen Kumar,Aam Aadmi Party,998,6,1004,0.47,Baghpat,52
Parmod Kumar Goswami,Secular Inqlab Party,181,0,181,0.08,Baghpat,52
Rasid,Peace Party,197,0,197,0.09,Baghpat,52
Vinod Kumar,Indian Nationalist Alliance Party (India),219,0,219,0.1,Baghpat,52
Maharaj Singh,Independent,353,1,354,0.17,Baghpat,52
Renu,Independent,869,0,869,0.41,Baghpat,52
Vinay Kasana,Independent,514,1,515,0.24,Baghpat,52
NOTA,None of the Above,572,2,574,0.27,Baghpat,52
Nitin Verma,Bahujan Samaj Party,50455,163,50618,26.59,Bah,94
Rani Pakshalika Singh,Bharatiya Janata Party,77961,399,78360,41.16,Bah,94
Madhusudan Sharma,Samajwadi Party,53780,345,54125,28.43,Bah,94
Manoj Dixit,Indian National Congress,1218,11,1229,0.65,Bah,94
Neeraj Kumar Karauria,Aam Aadmi Party,956,3,959,0.5,Bah,94
Styendra Baghel,Rashtriya Samaj Paksha,119,0,119,0.06,Bah,94
Sarvesh Kumar,Bharatiya Majdoor Janta Party,166,0,166,0.09,Bah,94
Ashok Kumar,Independent,161,0,161,0.08,Bah,94
Kaushal Kishor,Independent,154,0,154,0.08,Bah,94
Naresh,Independent,283,0,283,0.15,Bah,94
Brijendra Singh,Independent,576,0,576,0.3,Bah,94
Rambaran,Independent,348,0,348,0.18,Bah,94
Vijay Pratap Singh,Independent,663,0,663,0.35,Bah,94
Sukhram,Independent,784,0,784,0.41,Bah,94
NOTA,None of the Above,1836,1,1837,0.96,Bah,94
ATAUR REHMAN,Samajwadi Party,123639,506,124145,46.67,Baheri,118
ASEY RAM,Bahujan Samaj Party,15775,39,15814,5.95,Baheri,118
CHHATRA PAL SINGH,Bharatiya Janata Party,120457,333,120790,45.41,Baheri,118
SANTOSH,Indian National Congress,1839,6,1845,0.69,Baheri,118
ASIF RAZA,Aam Aadmi Party,517,2,519,0.2,Baheri,118
JITENDRA PAL SINGH,Aazad Samaj Party (Kanshi Ram),241,0,241,0.09,Baheri,118
DHARM PAL,Bharatiya Subhash Sena,256,0,256,0.1,Baheri,118
AJAY GANGWAR,Independent,162,0,162,0.06,Baheri,118
CHHATR PAL,Independent,216,0,216,0.08,Baheri,118
DUSHYANT KUMAR,Independent,503,1,504,0.19,Baheri,118
FARIDA REHMAN,Independent,338,1,339,0.13,Baheri,118
NOTA,None of the Above,1172,0,1172,0.44,Baheri,118
ANUPMA JAISWAL,Bharatiya Janata Party,107457,171,107628,46.45,Bahraich,286
JAI PRAKASH MISHRA,Indian National Congress,3269,6,3275,1.41,Bahraich,286
NAEEM,Bahujan Samaj Party,10275,24,10299,4.44,Bahraich,286
YASAR SHAH,Samajwadi Party,103201,349,103550,44.69,Bahraich,286
RAJAT CHAURASIYA,Aam Aadmi Party,1132,0,1132,0.49,Bahraich,286
RAJWANT SINGH,Shiv Sena,502,0,502,0.22,Bahraich,286
RASHID JAMIL,All India Majlis-E-Ittehadul Muslimeen,2238,2,2240,0.97,Bahraich,286
RAJEEV SINGH,Independent,405,0,405,0.17,Bahraich,286
DR. RAM DULARE MISHRA,Independent,601,0,601,0.26,Bahraich,286
NOTA,None of the Above,2072,4,2076,0.9,Bahraich,286
ANAND SWARUP SHUKLA,Bharatiya Janata Party,57788,502,58290,33,Bairia,363
JAI PRAKASH ANCHAL,Samajwadi Party,70749,492,71241,40.33,Bairia,363
SUBHASH YADAV,Bahujan Samaj Party,12632,63,12695,7.19,Bairia,363
KUMARI SONA,Indian National Congress,1196,7,1203,0.68,Bairia,363
ASHOK KUMAR MAURYA,Jan Adhikar Party,631,2,633,0.36,Bairia,363
RAJNISH,Aam Aadmi Party,787,7,794,0.45,Bairia,363
SURENDRA NATH SINGH,Vikassheel Insaan Party,28450,165,28615,16.2,Bairia,363
SURYA BALI PRASAD,Bahujan Mukti Party,1224,1,1225,0.69,Bairia,363
NOTA,None of the Above,1956,2,1958,1.11,Bairia,363
GOMTI YADAV,Samajwadi Party,119560,574,120134,37.65,BakshiKaaTalab,169
YOGESH SHUKLA,Bharatiya Janata Party,147389,533,147922,46.36,BakshiKaaTalab,169
LALAN KUMAR,Indian National Congress,9034,22,9056,2.84,BakshiKaaTalab,169
SALAUDDIN 'MUSSAN',Bahujan Samaj Party,35063,104,35167,11.02,BakshiKaaTalab,169
ARVIND KUMAR TIWARI,Lok Bandhu Party,513,0,513,0.16,BakshiKaaTalab,169
RISHI JAISWAL 'GAPPU',Gandhiyan Peoples Party,621,0,621,0.19,BakshiKaaTalab,169
KISHOR KUMAR,Kishore Raj Party,321,0,321,0.1,BakshiKaaTalab,169
PANKAJ SINGH ADVOCATE,Rashtriya Rashtrawadi Party,361,1,362,0.11,BakshiKaaTalab,169
BALARAM VERMA LODHI,Samdarshi Samaj Party,566,2,568,0.18,BakshiKaaTalab,169
VIPIN TYAGI,Mera Adhikaar Rashtriya Dal,483,1,484,0.15,BakshiKaaTalab,169
SHYAMU VERMA,Sabka Dal United,634,0,634,0.2,BakshiKaaTalab,169
SUNIL KUMAR Alias S. K. SINGHANIYA,Aazad Samaj Party (Kanshi Ram),1064,2,1066,0.33,BakshiKaaTalab,169
NOTA,None of the Above,2199,5,2204,0.69,BakshiKaaTalab,169
Tilak Chandra,Bahujan Samaj Party,42424,127,42551,22.23,Balamau,160
Rampal Verma,Bharatiya Janata Party,81823,171,81994,42.84,Balamau,160
Rambali Verma,Samajwadi Party,55242,508,55750,29.13,Balamau,160
Surendra Kumar,Indian National Congress,4106,6,4112,2.15,Balamau,160
Piyush Premi,Aam Aadmi Party,1579,5,1584,0.83,Balamau,160
Ramkrishna,Bhartiya Shakti Chetna Party,563,1,564,0.29,Balamau,160
Anita,Independent,585,0,585,0.31,Balamau,160
Manoj Kumar Verma,Independent,641,1,642,0.34,Balamau,160
Sushila Devi,Independent,1557,1,1558,0.81,Balamau,160
NOTA,None of the Above,2046,1,2047,1.07,Balamau,160
ASHOK KUMAR,Bahujan Samaj Party,48207,163,48370,19.69,Baldev,85
PURAN PRAKASH,Bharatiya Janata Party,107647,767,108414,44.14,Baldev,85
BABITA DEVI,Rashtriya Lok Dal,82601,558,83159,33.86,Baldev,85
VINESH KUMAR SANWAL,Indian National Congress,2228,20,2248,0.92,Baldev,85
JIVAN LAL,Aam Aadmi Party,730,13,743,0.3,Baldev,85
BHUPENDRA KUMAR DHANGAR,Rashtriya Shoshit Samaj Party,1431,4,1435,0.58,Baldev,85
NOTA,None of the Above,1225,7,1232,0.5,Baldev,85
AKSHAYBAR NATH KANAUJIYA,Samajwadi Party,83571,339,83910,39.06,Balha,282
KIRAN BHARTI,Indian National Congress,2121,4,2125,0.99,Balha,282
RAMCHANDRA,Bahujan Samaj Party,15516,62,15578,7.25,Balha,282
SAROJ SONKAR,Bharatiya Janata Party,100359,124,100483,46.78,Balha,282
KANTI,Aam Aadmi Party,2650,0,2650,1.23,Balha,282
Jitendra kumar,Jan Adhikar Party,2489,2,2491,1.16,Balha,282
Deepak,Vikassheel Insaan Party,2240,2,2242,1.04,Balha,282
Rinku Sahani,Shiv Sena,691,0,691,0.32,Balha,282
Raj Sri,Independent,617,0,617,0.29,Balha,282
VIJAY,Independent,573,0,573,0.27,Balha,282
SHIV CHARAN,Independent,763,0,763,0.36,Balha,282
NOTA,None of the Above,2687,2,2689,1.25,Balha,282
Omprakash,Indian National Congress,2136,30,2166,1.07,BalliaNagar,361
Daya Shankar Singh,Bharatiya Janata Party,102965,908,103873,51.22,BalliaNagar,361
NARAD RAI,Samajwadi Party,76356,1278,77634,38.28,BalliaNagar,361
Shivdas Prasad Verma,Bahujan Samaj Party,9936,87,10023,4.94,BalliaNagar,361
AJAY S/O KEDAR,Aam Aadmi Party,512,7,519,0.26,BalliaNagar,361
AJAY S/O RAJNARAYAN,Swadesh Jan Sewak Party,272,0,272,0.13,BalliaNagar,361
Jitendra Tiwari,Vikassheel Insaan Party,3857,15,3872,1.91,BalliaNagar,361
Prakash Kumar,All India Forward Bloc,233,0,233,0.11,BalliaNagar,361
M.Shamim Khan,All India Majlis-E-Ittehadul Muslimeen,682,7,689,0.34,BalliaNagar,361
Shankar Ram Rawat,VANCHITSAMAJ INSAAF PARTY,234,1,235,0.12,BalliaNagar,361
SAGAR SINGH,Lok Janshakti Party(Ram Vilas),344,2,346,0.17,BalliaNagar,361
Arjun Kumar,Independent,380,1,381,0.19,BalliaNagar,361
Dharmendra Kumar,Independent,700,0,700,0.35,BalliaNagar,361
Rama Shankar Tiwari,Independent,813,2,815,0.4,BalliaNagar,361
NOTA,None of the Above,1048,6,1054,0.52,BalliaNagar,361
JAGRAM PASWAN,Samajwadi Party,89673,502,90175,43.62,Balrampur,294
PALTOO RAM,Bharatiya Janata Party,100896,250,101146,48.93,Balrampur,294
BABITA,Indian National Congress,2574,2,2576,1.25,Balrampur,294
HARI RAM,Bahujan Samaj Party,5331,40,5371,2.6,Balrampur,294
UDAY CHAND,Aam Aadmi Party,407,1,408,0.2,Balrampur,294
UMA DEVI,Bahujan Mukti Party,376,0,376,0.18,Balrampur,294
MADAN LAL,Peace Party,706,0,706,0.34,Balrampur,294
LAL JI,Aazad Samaj Party (Kanshi Ram),717,0,717,0.35,Balrampur,294
SANTOSH KUMARI,India Janshakti Party,378,0,378,0.18,Balrampur,294
HARIRAM,Bharatiya Subhash Sena,686,0,686,0.33,Balrampur,294
JAY MANGAL,Independent,721,0,721,0.35,Balrampur,294
RAVINDRA KUMAR,Independent,1095,0,1095,0.53,Balrampur,294
NOTA,None of the Above,2365,0,2365,1.14,Balrampur,294
DEVNATH YADAV,Communist Party of India,1550,0,1550,0.79,Banda,235
DHEERAJ PRAKASH,Bahujan Samaj Party,38073,211,38284,19.4,Banda,235
PRAKASH DWIVEDI,Bharatiya Janata Party,81131,426,81557,41.34,Banda,235
MANJULA SINGH,Samajwadi Party,65429,914,66343,33.63,Banda,235
LAXMINARAYAN,Indian National Congress,1879,15,1894,0.96,Banda,235
GULAB CHANDRA KUSHWAHA,Bhartiya Shakti Chetna Party,990,0,990,0.5,Banda,235
RAM PRASAD SINGH,Aam Janta Party (India),913,2,915,0.46,Banda,235
HANUMAN DAS,Jan Adhikar Party,3750,26,3776,1.91,Banda,235
NOTA,None of the Above,1987,4,1991,1.01,Banda,235
Arti Bajpai,Indian National Congress,5276,9,5285,2.6,Bangermau,162
Dr. Munna,Samajwadi Party,74817,370,75187,36.94,Bangermau,162
Ram Kishore Pal,Bahujan Samaj Party,25464,79,25543,12.55,Bangermau,162
Shrikant Katiyar,Bharatiya Janata Party,90842,138,90980,44.7,Bangermau,162
Anil Kumar Mishra,Socialist Party (India),1385,0,1385,0.68,Bangermau,162
Chand Alam,Aazad Samaj Party (Kanshi Ram),751,3,754,0.37,Bangermau,162
Rizwanullah,Nagrik Ekta Party,1014,0,1014,0.5,Bangermau,162
Satyendra,Aam Aadmi Party,796,2,798,0.39,Bangermau,162
Abdul Rzzak Mansuri,Independent,704,0,704,0.35,Bangermau,162
Balram,Independent,609,1,610,0.3,Bangermau,162
NOTA,None of the Above,1266,1,1267,0.62,Bangermau,162
KETAKEE SINGH,Bharatiya Janata Party,102687,618,103305,47.67,Bansdih,362
PUNEET,Indian National Congress,4320,34,4354,2.01,Bansdih,362
MANTI,Bahujan Samaj Party,10761,93,10854,5.01,Bansdih,362
RAM GOVIND,Samajwadi Party,81230,723,81953,37.82,Bansdih,362
LAKSHMAN,Communist Party of India,1981,2,1983,0.92,Bansdih,362
AJAY SHANKAR,Vikassheel Insaan Party,7632,18,7650,3.53,Bansdih,362
DAYASHANKER VERMA,Jan Adhikar Party,1127,4,1131,0.52,Bansdih,362
MAMATA,Swadesh Jan Sewak Party,411,0,411,0.19,Bansdih,362
SUSHANT,Aam Aadmi Party,657,3,660,0.3,Bansdih,362
SANGRAM SINGH TOMAR,Lok Janshakti Party(Ram Vilas),486,3,489,0.23,Bansdih,362
PRAMOD PASWAN,Independent,666,1,667,0.31,Bansdih,362
VINOD KUMAR VERMA,Independent,496,0,496,0.23,Bansdih,362
SWAMI NATH SAHANI,Independent,741,0,741,0.34,Bansdih,362
NOTA,None of the Above,2003,1,2004,0.92,Bansdih,362
POONAM,Indian National Congress,2039,11,2050,1.09,Bansgaon,327
RAMNAYAN AZAD,Bahujan Samaj Party,37017,187,37204,19.73,Bansgaon,327
DR. VIMLESH PASWAN,Bharatiya Janata Party,86730,494,87224,46.26,Bansgaon,327
DR. SANJAY KUMAR,Samajwadi Party,54328,587,54915,29.13,Bansgaon,327
MURLI,"Rashtrawadi Party of India,",649,1,650,0.34,Bansgaon,327
ROODAL,Jan Adhikar Party,1388,4,1392,0.74,Bansgaon,327
LALVACHAN,Aam Aadmi Party,1054,6,1060,0.56,Bansgaon,327
VIJAY PASWAN,Vikassheel Insaan Party,1436,4,1440,0.76,Bansgaon,327
SHRVAN KUMAR NIRALA,Independent,1144,3,1147,0.61,Bansgaon,327
NOTA,None of the Above,1456,4,1460,0.77,Bansgaon,327
Kiran Shukla,Indian National Congress,2930,1,2931,1.55,Bansi,304
Jai Pratap Singh,Bharatiya Janata Party,84532,64,84596,44.82,Bansi,304
Naveen,Samajwadi Party,64185,71,64256,34.04,Bansi,304
Radheshyam,Bahujan Samaj Party,22069,2,22071,11.69,Bansi,304
Dinesh,Bharatiya Eklavya Party,818,0,818,0.43,Bansi,304
Pradeep Kumar,Aam Aadmi Party,2080,0,2080,1.1,Bansi,304
Roonamati,Abhay Samaj Party,645,0,645,0.34,Bansi,304
Shakuntala,Sabka Dal United,4048,1,4049,2.15,Bansi,304
Saimuhammad,All India Majlis-E-Ittehadul Muslimeen,3443,0,3443,1.82,Bansi,304
Hari Shankar,Bahujan Maha Party,545,0,545,0.29,Bansi,304
Fakhruddin,Independent,704,0,704,0.37,Bansi,304
Serveshwer Tripathi,Independent,1018,0,1018,0.54,Bansi,304
NOTA,None of the Above,1598,0,1598,0.85,Bansi,304
AJAY,Samajwadi Party,76210,469,76679,37.38,Bara,264
DR AJAY KUMAR,Bahujan Samaj Party,22656,63,22719,11.08,Bara,264
AYODHYA PRASAD KOL,Communist Party of India,1344,3,1347,0.66,Bara,264
MANJU SANT,Indian National Congress,3431,12,3443,1.68,Bara,264
Kanhaiya Lal,Aam Aadmi Party,1047,8,1055,0.51,Bara,264
RAVITA DEVI,Jan Kalyan Party,1023,1,1024,0.5,Bara,264
Ram Kumar Vidyarthi,Peoples Party of India (Democratic),2572,3,2575,1.26,Bara,264
VACHASPATI,Apna Dal (Soneylal),89003,200,89203,43.49,Bara,264
Sumitra  Varun,Akhil Bharatiya Socialist Party,1197,1,1198,0.58,Bara,264
AJEET BHASKAR,Independent,1660,2,1662,0.81,Bara,264
RAJENDRA PRASAD,Independent,762,0,762,0.37,Bara,264
VIVEK KUMAR,Independent,731,0,731,0.36,Bara,264
NOTA,None of the Above,2728,3,2731,1.33,Bara,264
Dharmraj Singh Yadav,Samajwadi Party,124756,744,125500,47.11,Barabanki,268
Dr. Ramkumari Maurya,Bharatiya Janata Party,90196,254,90450,33.95,Barabanki,268
Roohi Arshad,Indian National Congress,4552,8,4560,1.71,Barabanki,268
Dr. Vivek Singh Verma,Bahujan Samaj Party,42265,241,42506,15.96,Barabanki,268
Er. Pradeep Singh Verma,Aam Aadmi Party,755,2,757,0.28,Barabanki,268
Raj Parikshit Singh,Shiv Sena,453,0,453,0.17,Barabanki,268
Shyam G,Pichhra Samaj Party,644,0,644,0.24,Barabanki,268
NOTA,None of the Above,1524,2,1526,0.57,Barabanki,268
Gaurang Dev,Indian National Congress,2359,18,2377,0.97,Barauli,72
Thakur Jaiveer Singh,Bharatiya Janata Party,147328,656,147984,60.57,Barauli,72
NARENDRA KUMAR SHARMA,Bahujan Samaj Party,57047,292,57339,23.47,Barauli,72
Pramod Gaur,Rashtriya Lok Dal,32511,270,32781,13.42,Barauli,72
Shakir Ali,All India Majlis-E-Ittehadul Muslimeen,926,7,933,0.38,Barauli,72
Sunita,Aam Aadmi Party,913,5,918,0.38,Barauli,72
DEVENDER KUMAR VERMA,Independent,875,0,875,0.36,Barauli,72
NOTA,None of the Above,1089,3,1092,0.45,Barauli,72
ANKIT SHAMAR,Bahujan Samaj Party,11183,61,11244,5.73,Baraut,51
KRISHAN PAL MALIK,Bharatiya Janata Party,90067,864,90931,46.34,Baraut,51
JAIVEER,Rashtriya Lok Dal,89872,744,90616,46.18,Baraut,51
RAHUL KUMAR,Indian National Congress,1840,9,1849,0.94,Baraut,51
SUDHIR,Aam Aadmi Party,699,10,709,0.36,Baraut,51
RENU BALA,Independent,294,4,298,0.15,Baraut,51
NOTA,None of the Above,574,5,579,0.3,Baraut,51
DR ARUN KUMAR,Bharatiya Janata Party,128153,861,129014,53.77,Bareilly,124
KRISHNA KANT SHARMA,Indian National Congress,2296,15,2311,0.96,Bareilly,124
BRAHAMA NAND SHARMA,Bahujan Samaj Party,6863,119,6982,2.91,Bareilly,124
RAJESH KUMAR AGARWAL,Samajwadi Party,95981,713,96694,40.3,Bareilly,124
AMIT KHANDELWAL,Jan Shakti Ekta Party,465,0,465,0.19,Bareilly,124
KRISHNA BHARDWAJ,Aam Aadmi Party,706,8,714,0.3,Bareilly,124
JAVED HUSAIN,Mera Adhikaar Rashtriya Dal,103,0,103,0.04,Bareilly,124
RAFIA SHABNAM,Aazad Samaj Party (Kanshi Ram),263,0,263,0.11,Bareilly,124
SHAHEEM KHAN URF RAJU,All India Majlis-E-Ittehadul Muslimeen,1742,2,1744,0.73,Bareilly,124
SAFIYA KHATOON,VANCHITSAMAJ INSAAF PARTY,220,0,220,0.09,Bareilly,124
RAKESH AGARWAL ADVOCATE,Independent,257,1,258,0.11,Bareilly,124
NOTA,None of the Above,1167,11,1178,0.49,Bareilly,124
ANIL KUMAR,Bahujan Samaj Party,3290,80,3370,1.72,BareillyCantt.,125
MOHD. ISLAM ANSARI,Indian National Congress,2273,7,2280,1.16,BareillyCantt.,125
SUPRIYA ARON,Samajwadi Party,87496,667,88163,44.94,BareillyCantt.,125
SANJEEV AGARWAL,Bharatiya Janata Party,98497,434,98931,50.43,BareillyCantt.,125
RAHEES MIYA,VANCHITSAMAJ INSAAF PARTY,425,0,425,0.22,BareillyCantt.,125
RAM GOPAL KASHYAP,Shiv Sena,251,2,253,0.13,BareillyCantt.,125
VINOD KUMAR GAUTAM,Jan Shakti Ekta Party,84,1,85,0.04,BareillyCantt.,125
VISHNU MOURYA,Jan Seva Sahayak Party,102,0,102,0.05,BareillyCantt.,125
SHAHNAZ BEGUM,Peace Party,104,1,105,0.05,BareillyCantt.,125
SHIVRI NAGVANSHI,Aam Aadmi Party,411,3,414,0.21,BareillyCantt.,125
ADARSH KUMAR GUPTA,Independent,80,0,80,0.04,BareillyCantt.,125
KRISHNA PAL,Independent,235,0,235,0.12,BareillyCantt.,125
CHANDRA BHOJ PATHAK,Independent,296,0,296,0.15,BareillyCantt.,125
MOHD NAFEES,Independent,315,0,315,0.16,BareillyCantt.,125
SUNIL KUMAR,Independent,426,1,427,0.22,BareillyCantt.,125
NOTA,None of the Above,685,2,687,0.35,BareillyCantt.,125
DEEPAK KUMAR MISHR,Bharatiya Janata Party,85251,507,85758,46.33,Barhaj,342
MURLI MANOHAR JAISWAL,Samajwadi Party,68107,790,68897,37.22,Barhaj,342
RAMJEE GIRI,Indian National Congress,2060,19,2079,1.12,Barhaj,342
VINAY LALSAHAB TIWARI,Bahujan Samaj Party,23145,142,23287,12.58,Barhaj,342
ISHWAR CHAND VISHWAKARAMA,Bahujan Mukti Party,448,2,450,0.24,Barhaj,342
MAHANTH,Aam Janta Party (India),206,2,208,0.11,Barhaj,342
RAMIKBAL,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),198,1,199,0.11,Barhaj,342
RAMASHRAY,Moderate Party,455,0,455,0.25,Barhaj,342
SUDHIR KUMAR VISHWAKARMA,Right to Recall Party,364,0,364,0.2,Barhaj,342
KRISHNCHANDRA DIKSHIT ADVOCATE,Independent,420,2,422,0.23,Barhaj,342
BHASKAR MISHRA,Independent,372,4,376,0.2,Barhaj,342
BIJAY SHANKER,Hindustan Janmorcha,766,0,766,0.41,Barhaj,342
NOTA,None of the Above,1845,2,1847,1,Barhaj,342
AHASAN ALI,Indian National Congress,1446,6,1452,0.6,Barhapur,19
KAPIL KUMAR,Samajwadi Party,85377,378,85755,35.62,Barhapur,19
KUNWAR SUSHANT SINGH,Bharatiya Janata Party,99657,443,100100,41.58,Barhapur,19
MOHAMMED GHAZI,Bahujan Samaj Party,46445,193,46638,19.37,Barhapur,19
IJAHAR,Aazad Samaj Party (Kanshi Ram),855,2,857,0.36,Barhapur,19
KHOOB SINGH,Pichhra Samaj Party,252,1,253,0.11,Barhapur,19
CHANDRAPAL,Loktanter Suraksha Party,670,1,671,0.28,Barhapur,19
NIRMAL MISHRA,Aam Aadmi Party,433,5,438,0.18,Barhapur,19
PADAM SINGH,Jan Adhikar Party,288,0,288,0.12,Barhapur,19
MOHIUDDIN ANSARI,All India Majlis-E-Ittehadul Muslimeen,1017,2,1019,0.42,Barhapur,19
RAJIYA,Bhartiya Jan Samman Party,333,4,337,0.14,Barhapur,19
HIRDESH KUMAR,Peoples Party of India (Democratic),791,1,792,0.33,Barhapur,19
ANIL KUMAR,Independent,858,0,858,0.36,Barhapur,19
SHABNAM NAZ,Independent,453,0,453,0.19,Barhapur,19
NOTA,None of the Above,848,1,849,0.35,Barhapur,19
JAYDRATH URF PRAVAKTANAND,Bharatiya Janata Party,151498,273,151771,63.8,Barkhera,128
MOHAN SWAROOP,Bahujan Samaj Party,9321,62,9383,3.94,Barkhera,128
HARPREET PAL SINGH,Indian National Congress,2695,7,2702,1.14,Barkhera,128
HEMRAJ VERMA,Samajwadi Party,69660,639,70299,29.55,Barkhera,128
ASHISH GUPTA,Aam Aadmi Party,497,0,497,0.21,Barkhera,128
KISHAN LAL,Bharatiya Subhash Sena,324,3,327,0.14,Barkhera,128
BRIJ LAL,Bahujan Mukti Party,267,0,267,0.11,Barkhera,128
RAM KUMAR,Sabka Dal United,277,1,278,0.12,Barkhera,128
SARVESH MUNI PATHRIYA,Bharatiya Jan Jagriti Party,490,1,491,0.21,Barkhera,128
NOTA,None of the Above,1861,2,1863,0.78,Barkhera,128
Alok Ranjan Verma,Bahujan Samaj Party,36177,252,36429,16.86,BastiSadar,310
Dayaram Chaudhary,Bharatiya Janata Party,83806,444,84250,38.99,BastiSadar,310
DEVENDRA KUMAR SRIVASTAVA,Indian National Congress,4071,34,4105,1.9,BastiSadar,310
Pradeep Kumar,Bahujan Mukti Party,264,2,266,0.12,BastiSadar,310
Ramesh Kumar Singh,Aam Aadmi Party,502,4,506,0.23,BastiSadar,310
Ram Prasad,Janhit Kisan Party,444,1,445,0.21,BastiSadar,310
Mahendra Nath Yadav,Samajwadi Party,84655,1374,86029,39.81,BastiSadar,310
Babita,Independent,612,0,612,0.28,BastiSadar,310
Ambrish Dev Gupta 'Sonu',Bharat Mahaparivar Party,1180,0,1180,0.55,BastiSadar,310
Gyan Prakash Tripathi,Atal Janshakti Party,534,3,537,0.25,BastiSadar,310
Arbabul Haq,Aazad Samaj Party (Kanshi Ram),413,1,414,0.19,BastiSadar,310
NOTA,None of the Above,1312,8,1320,0.61,BastiSadar,310
Umar Ali Khan,Samajwadi Party,134396,117,134513,47.81,Behat,1
